Timestamps (secs),zScore,Events
66305.19386,2.024403595831106,
66305.22717,2.0167909811287124,
66305.26051,1.4032516432401854,
66305.29382,1.72906567484279,
66305.32717,1.3808665443499373,
66305.36051,2.357025161727427,
66305.39382,1.9832330338262445,
66305.42717,1.831186588268934,
66305.46051,1.9994489344706983,
66305.49382,1.5213846093515517,
66305.52717,2.0245308068945596,
66305.56048,1.9942102979896166,
66305.59382,2.2624973254101577,
66305.62717,1.9319286721303532,
66305.66048,2.170952505363651,
66305.69382,1.9799784786657608,
66305.72717,1.3618183953980045,
66305.76048,2.071818394501847,
66305.79382,1.8780314240771476,
66305.82714,1.2602841034867651,
66305.86048,1.5938528898002045,
66305.89382,1.3706388597685903,
66305.92714,2.058656529241757,
66305.96048,1.4208792415122067,
66305.99382,2.246832083047504,
66306.02714,2.5287159219272053,
66306.06048,2.5119788940121572,
66306.09379,1.928575754662717,
66306.12714,2.063875628129377,
66306.16048,2.2354054018503957,
66306.19379,2.113938364741712,
66306.22714,2.2722645520874822,
66306.26045,1.4631004530001932,
66306.29379,2.1083502720098557,
66306.32714,2.5319338227313266,
66306.36045,2.3660094915177416,
66306.39379,2.008023829766895,
66306.42714,1.9470772646392476,
66306.46045,3.2119105965376336,
66306.49379,2.688069434869033,
66306.5271,2.082896666900607,
66306.56045,3.0250712438289318,
66306.59379,1.4284969229733673,
66306.6271,1.788388748683816,
66306.66045,2.1344177489145872,
66306.69379,2.2331302440466154,
66306.7271,1.9582783724658075,
66306.76045,1.6790657954148251,
66306.79379,2.0264436360887363,
66306.8271,2.590637640007484,
66306.86045,1.315180286490049,
66306.89379,2.109823228345985,
66306.9271,1.507015585546412,
66306.96045,1.0665959534796552,
66306.99376,1.5775081796165469,
66307.0271,1.7588411432480813,
66307.06045,2.0625589646257936,
66307.09376,1.778796071967222,
66307.1271,1.7491467671729573,
66307.16042,1.0175479031172538,
66307.19376,1.3149375963566576,
66307.2271,1.5093595746460817,
66307.26042,1.3538396657923721,
66307.29376,2.0664847238968687,
66307.3271,1.3683270476085057,
66307.36042,2.2981515049200505,
66307.39376,2.038828811586012,
66307.42707,1.5762419501807046,
66307.46042,1.3394504132705995,
66307.49376,2.0898121076770493,
66307.52707,1.6103143595191052,
66307.56042,1.6261796635474706,
66307.59376,1.797385950833017,
66307.62707,1.9935986140119601,
66307.66042,1.305141979033383,
66307.69376,2.0063732282995996,
66307.72707,1.8002572743273613,
66307.76042,1.9242576776603377,
66307.79373,1.5745913487133807,
66307.82707,1.6723737401911047,
66307.86042,1.905938879573855,
66307.89373,1.9824041714200331,
66307.92707,0.9834843468312838,
66307.96038,0.9366335369116374,
66307.99373,1.5381149720319671,
66308.02707,1.0731374737528547,
66308.06038,1.3534861902351993,
66308.09373,1.7044032303309353,
66308.12704,1.973358133678899,
